Date,C1,C2,C3,C4,C5,R1,R2,R3,R4,R5
2016-11-01,[CC | 20.0%],[HE | 14.0%],[ZC | 13.0%],[CF | 10.0%],[ZW | 9.0%],[HE | 27.0%],[CT | 10.0%],[CC | 9.0%],[NG | 9.0%],[CO | 7.0%]
2016-12-01,[SV | 24.0%],[ZS | 20.0%],[HO | 17.0%],[ZC | 11.0%],[NG | 8.0%],[HO | 22.0%],[ZS | 18.0%],[GD | 11.0%],[SV | 9.0%],[ZC | 8.0%]
2017-01-01,[NG | 45.0%],[LE | 20.0%],[HO | 8.0%],[CF | 6.0%],[HE | 5.0%],[NG | 49.0%],[LE | 13.0%],[CT | 7.0%],[HO | 6.0%],[CO | 5.0%]
2017-02-01,[HO | 48.0%],[SV | 14.0%],[ZS | 11.0%],[LE | 10.0%],[HE | 4.0%],[HO | 42.0%],[LE | 29.0%],[SU | 8.0%],[ZS | 7.0%],[CC | 3.0%]
2017-03-01,[HO | 18.0%],[HE | 15.0%],[ZC | 15.0%],[SU | 14.0%],[SV | 8.0%],[LE | 43.0%],[HE | 14.0%],[SU | 12.0%],[CT | 9.0%],[HO | 8.0%]
2017-04-01,[HE | 50.0%],[CO | 13.0%],[HO | 11.0%],[SU | 10.0%],[LE | 5.0%],[HE | 34.0%],[LE | 33.0%],[HO | 17.0%],[CO | 7.0%],[SU | 3.0%]
2017-05-01,[CC | 26.0%],[HE | 24.0%],[CO | 14.0%],[CT | 13.0%],[SV | 10.0%],[HE | 32.0%],[CC | 23.0%],[CT | 12.0%],[LE | 12.0%],[CP | 8.0%]
2017-06-01,[HO | 25.0%],[LE | 24.0%],[ZS | 14.0%],[NG | 9.0%],[CO | 9.0%],[LE | 61.0%],[HO | 10.0%],[NG | 10.0%],[CP | 7.0%],[ZS | 4.0%]
2017-07-01,[CC | 51.0%],[SV | 22.0%],[LE | 13.0%],[CT | 5.0%],[ZW | 3.0%],[LE | 44.0%],[CC | 35.0%],[CT | 6.0%],[ZW | 4.0%],[CP | 4.0%]
2017-08-01,[SV | 35.0%],[ZS | 16.0%],[HE | 14.0%],[CP | 10.0%],[HO | 7.0%],[HE | 34.0%],[CP | 20.0%],[LE | 20.0%],[ZS | 6.0%],[SV | 5.0%]
2017-09-01,[CC | 31.0%],[HE | 18.0%],[LE | 15.0%],[HO | 14.0%],[CT | 3.0%],[LE | 27.0%],[CC | 22.0%],[CP | 15.0%],[HE | 11.0%],[NG | 8.0%]
2017-10-01,[HE | 30.0%],[ZC | 15.0%],[NG | 13.0%],[ZW | 11.0%],[HO | 9.0%],[NG | 23.0%],[CP | 16.0%],[ZS | 13.0%],[HE | 10.0%],[ZW | 9.0%]
2017-11-01,[CC | 27.0%],[LE | 23.0%],[HO | 17.0%],[CO | 8.0%],[SV | 7.0%],[LE | 29.0%],[HO | 17.0%],[CC | 13.0%],[CO | 12.0%],[CP | 10.0%]
2017-12-01,[HO | 39.0%],[CO | 22.0%],[SV | 15.0%],[CT | 5.0%],[CC | 5.0%],[CO | 36.0%],[HO | 30.0%],[CP | 10.0%],[CT | 7.0%],[NG | 3.0%]
2018-01-01,[CO | 26.0%],[SV | 18.0%],[CC | 16.0%],[HO | 13.0%],[HE | 7.0%],[CO | 29.0%],[NG | 19.0%],[CC | 15.0%],[HO | 13.0%],[ZW | 4.0%]
2018-02-01,[HO | 23.0%],[LE | 20.0%],[CO | 14.0%],[SV | 11.0%],[ZC | 10.0%],[HO | 28.0%],[LE | 17.0%],[CT | 16.0%],[CP | 15.0%],[CO | 11.0%]
2018-03-01,[CC | 35.0%],[HE | 22.0%],[HO | 15.0%],[CP | 11.0%],[CF | 8.0%],[CC | 27.0%],[HO | 13.0%],[CP | 13.0%],[HE | 11.0%],[SU | 11.0%]
2018-04-01,[HE | 67.0%],[ZW | 10.0%],[CP | 7.0%],[SU | 5.0%],[NG | 4.0%],[HE | 71.0%],[CP | 14.0%],[NG | 3.0%],[CT | 3.0%],[SU | 2.0%]
2018-05-01,[CC | 48.0%],[CP | 23.0%],[ZW | 7.0%],[ZC | 5.0%],[SU | 4.0%],[CC | 34.0%],[CP | 26.0%],[SU | 9.0%],[NG | 7.0%],[CO | 7.0%]
2018-06-01,[SV | 42.0%],[CC | 19.0%],[HO | 13.0%],[GD | 6.0%],[SU | 6.0%],[SU | 16.0%],[CP | 16.0%],[CC | 13.0%],[SV | 13.0%],[GD | 13.0%]
2018-07-01,[CC | 25.0%],[SU | 23.0%],[CO | 21.0%],[CP | 14.0%],[LE | 5.0%],[SU | 26.0%],[CO | 18.0%],[CP | 18.0%],[CC | 18.0%],[HO | 10.0%]
2018-08-01,[HE | 48.0%],[CC | 19.0%],[CP | 9.0%],[SU | 6.0%],[HO | 6.0%],[HE | 30.0%],[CC | 28.0%],[CP | 16.0%],[SU | 9.0%],[CO | 6.0%]
2018-09-01,[HE | 37.0%],[SU | 19.0%],[CO | 13.0%],[ZC | 8.0%],[CP | 4.0%],[SU | 31.0%],[HE | 28.0%],[HO | 13.0%],[CP | 10.0%],[LE | 5.0%]
2018-10-01,[CC | 48.0%],[HO | 12.0%],[CT | 9.0%],[CO | 8.0%],[NG | 6.0%],[CC | 29.0%],[NG | 21.0%],[CO | 19.0%],[HO | 13.0%],[SU | 9.0%]
2018-11-01,[CO | 22.0%],[LE | 21.0%],[HO | 17.0%],[SV | 13.0%],[CP | 10.0%],[CO | 54.0%],[LE | 9.0%],[ZW | 8.0%],[CP | 7.0%],[HO | 7.0%]
2018-12-01,[CC | 55.0%],[CO | 21.0%],[HO | 6.0%],[HE | 5.0%],[SV | 4.0%],[NG | 57.0%],[CC | 24.0%],[HO | 8.0%],[CO | 6.0%],[SU | 2.0%]
2019-01-01,[CP | 41.0%],[HE | 16.0%],[NG | 9.0%],[SU | 9.0%],[CO | 8.0%],[NG | 72.0%],[CP | 18.0%],[LE | 3.0%],[CT | 3.0%],[ZC | 1.0%]
2019-02-01,[CC | 63.0%],[HE | 16.0%],[CO | 11.0%],[HO | 3.0%],[LE | 2.0%],[CC | 71.0%],[CO | 14.0%],[NG | 7.0%],[ZS | 3.0%],[HE | 3.0%]
2019-03-01,[HE | 29.0%],[CP | 21.0%],[HO | 16.0%],[NG | 13.0%],[CO | 6.0%],[NG | 40.0%],[CP | 20.0%],[HO | 8.0%],[CT | 8.0%],[SU | 7.0%]
2019-04-01,[CC | 57.0%],[HE | 15.0%],[SU | 13.0%],[LE | 5.0%],[CP | 4.0%],[CC | 64.0%],[HE | 10.0%],[HO | 6.0%],[LE | 6.0%],[CP | 3.0%]
2019-05-01,[CT | 36.0%],[CO | 32.0%],[HO | 11.0%],[ZS | 5.0%],[CC | 4.0%],[CT | 45.0%],[CO | 20.0%],[HO | 15.0%],[ZW | 7.0%],[NG | 4.0%]
2019-06-01,[CP | 56.0%],[CC | 16.0%],[HO | 12.0%],[CO | 5.0%],[LE | 3.0%],[CP | 63.0%],[HO | 17.0%],[CO | 7.0%],[CC | 4.0%],[CT | 4.0%]
2019-07-01,[HE | 36.0%],[CO | 24.0%],[CT | 19.0%],[CC | 6.0%],[ZS | 5.0%],[HO | 21.0%],[CO | 20.0%],[CT | 16.0%],[SU | 12.0%],[HE | 11.0%]
